stock_code,company_name,corp_code,total_score,profitability_score,stability_score,efficiency_score,growth_score,valuation_score,financial_records,latest_year,analysis_date,매출액_amount,영업이익_amount,당기순이익_amount,총자산_amount,자기자본_amount,부채총계_amount,유동자산_amount,ROE,영업이익률,순이익률,부채비율,총자산회전율,성장성,가치평가,유동부채_amount,유동비율
016580,환인제약,00166573,64,23,10,4,15,12,222,2023,2025-07-19 17:22:16,230393578986.0,30170287865.0,29774322169.0,401226633282.0,2869525053.0,43019152692.0,191308269.0,1037.6%,13.1%,12.9%,1499.2%,0.57회,추정값,추정값,62942162.0,303.9%
005180,빙그레,00124726,64,17,10,10,15,12,143,2023,2025-07-19 17:22:29,1394316382403.0,112245218200.0,86218494465.0,890717259861.0,49756205000.0,249119716386.0,495684852327.0,173.3%,8.1%,6.2%,500.7%,1.57회,추정값,추정값,66994882621.0,739.9%
066620,국보디자인,00253985,64,17,10,10,15,12,138,2023,2025-07-19 17:22:30,401268154696.0,32409587505.0,27637070850.0,337469311935.0,14144629589.0,126924813952.0,98479563262.0,195.4%,8.1%,6.9%,897.3%,1.19회,추정값,추정값,3276270337.0,3005.8%
012750,에스원,00158501,64,17,10,10,15,12,142,2023,2025-07-19 17:22:29,2620810541515.0,212609320684.0,189480545869.0,2179505358177.0,18999589000.0,581598589518.0,1082999533131.0,997.3%,8.1%,7.2%,3061.1%,1.20회,추정값,추정값,41891643250.0,2585.2%
036670,삼양케이씨아이,00265041,64,20,10,7,15,12,104,2023,2025-07-19 17:22:33,109946107606.0,10271822174.0,11000382558.0,119305819711.0,235729981.0,12878898221.0,48047192108.0,4666.5%,9.3%,10.0%,5463.4%,0.92회,추정값,추정값,328618094.0,14621.0%
022100,포스코DX,00155212,64,17,10,10,15,12,149,2023,2025-07-19 17:22:28,1485875620930.0,110563784581.0,91879439824.0,889807220460.0,76017364500.0,428357838257.0,58797645.0,120.9%,7.4%,6.2%,563.5%,1.67회,추정값,추정값,4555046.0,1290.8%
010100,한국무브넥스,00160418,64,13,14,10,15,12,231,2023,2025-07-19 17:22:15,1510805866604.0,59337787778.0,75104714381.0,874724776068.0,341180624348.0,533544151720.0,3705738216.0,22.0%,3.9%,5.0%,156.4%,1.73회,추정값,추정값,501069469.0,739.6%
025000,KPX케미칼,00191472,64,17,10,10,15,12,174,2023,2025-07-19 17:22:24,911119635067.0,58387011998.0,64876805570.0,822466228845.0,21865836763.0,175893522725.0,391008920849.0,296.7%,6.4%,7.1%,804.4%,1.11회,추정값,추정값,17297915692.0,2260.4%
053980,오상자이엘,00226547,64,22,8,7,15,12,137,2023,2025-07-19 17:22:30,103285811808.0,6343563755.0,28226222197.0,133387550333.0,43337318799.0,37542175295.0,1339279.0,65.1%,6.1%,27.3%,86.6%,0.77회,추정값,추정값,2819065333.0,0.0%
033430,디에스티,00244419,64,23,10,4,15,12,130,2023,2025-07-19 17:22:31,20858613489.0,2711896934.0,2560739396.0,31416481794.0,397660131.0,20485393570.0,12386862330.0,644.0%,13.0%,12.3%,5151.5%,0.66회,추정값,추정값,1043305293.0,1187.3%
046310,백금T&A,00360036,64,23,4,10,15,12,166,2023,2025-07-19 17:22:25,170733617690.0,17094548304.0,18471369300.0,139344947875.0,28237882240.0,41296296720.0,24500000.0,65.4%,10.0%,10.8%,146.2%,1.23회,추정값,추정값,5120245425.0,0.5%
060260,뉴보텍,00351375,64,17,10,10,15,12,148,2023,2025-07-19 17:22:28,48892913831.0,4757267441.0,4757267441.0,47289232792.0,1233505072.0,34142871495.0,28508950270.0,385.7%,9.7%,9.7%,2768.0%,1.03회,추정값,추정값,5306839170.0,537.2%
039610,화성밸브,00217743,64,20,10,7,15,12,133,2023,2025-07-19 17:22:30,91550544835.0,10029597192.0,8066499164.0,130325009989.0,5205200000.0,41804329358.0,52826779751.0,155.0%,11.0%,8.8%,803.1%,0.70회,추정값,추정값,17325272784.0,304.9%
025320,시노펙스,00203023,64,17,10,10,15,12,193,2023,2025-07-19 17:22:20,262172878615.0,24177306064.0,20229771237.0,201313622774.0,95502879.0,67188342427.0,112036933.0,21182.4%,9.2%,7.7%,70352.2%,1.30회,추정값,추정값,21845199.0,512.9%
053800,안랩,00298270,64,21,12,4,15,12,125,2023,2025-07-19 17:22:31,239201057076.0,26422531585.0,35827276209.0,375384295785.0,229817132497.0,90668208851.0,,15.6%,11.0%,15.0%,39.5%,0.64회,추정값,추정값,8282168650.0,
002310,아세아제지,00138729,64,18,12,7,15,12,191,2023,2025-07-19 17:22:20,908334402467.0,87582502735.0,100881467940.0,1048177764841.0,589395610562.0,198420445505.0,,17.1%,9.6%,11.1%,33.7%,0.87회,추정값,추정값,45317862554.0,
